year,category,sub_category,winner,entity,
2013,COSTUME DESIGN,COSTUME DESIGN,TRUE,The Great Gatsby,
2013,COSTUME DESIGN,COSTUME DESIGN,FALSE,The Invisible Woman,
2013,COSTUME DESIGN,COSTUME DESIGN,FALSE,12 Years a Slave,
2013,DIRECTING,DIRECTING,FALSE,American Hustle,
2013,DIRECTING,DIRECTING,TRUE,Gravity,
2013,DIRECTING,DIRECTING,FALSE,Nebraska,
2013,DIRECTING,DIRECTING,FALSE,12 Years a Slave,
2013,DIRECTING,DIRECTING,FALSE,The Wolf of Wall Street,
2013,DOCUMENTARY,DOCUMENTARY (Feature),FALSE,The Act of Killing,
2013,DOCUMENTARY,DOCUMENTARY (Feature),FALSE,Cutie and the Boxer,
2013,DOCUMENTARY,DOCUMENTARY (Feature),FALSE,Dirty Wars,
2013,DOCUMENTARY,DOCUMENTARY (Feature),FALSE,The Square,
2013,DOCUMENTARY,DOCUMENTARY (Feature),TRUE,20 Feet from Stardom,
2013,DOCUMENTARY,DOCUMENTARY (Short Subject),FALSE,CaveDigger,
2013,DOCUMENTARY,DOCUMENTARY (Short Subject),FALSE,Facing Fear,
2013,DOCUMENTARY,DOCUMENTARY (Short Subject),FALSE,Karama Has No Walls,
2013,DOCUMENTARY,DOCUMENTARY (Short Subject),TRUE,The Lady in Number 6: Music Saved My Life,
2013,DOCUMENTARY,DOCUMENTARY (Short Subject),FALSE,Prison Terminal: The Last Days of Private Jack Hall,
2013,FILM EDITING,FILM EDITING,FALSE,American Hustle,
2013,FILM EDITING,FILM EDITING,FALSE,Captain Phillips,
2013,FILM EDITING,FILM EDITING,FALSE,Dallas Buyers Club,
2013,FILM EDITING,FILM EDITING,TRUE,Gravity,
2013,FILM EDITING,FILM EDITING,FALSE,12 Years a Slave,
2013,FOREIGN LANGUAGE FILM,FOREIGN LANGUAGE FILM,FALSE,The Broken Circle Breakdown,
2013,FOREIGN LANGUAGE FILM,FOREIGN LANGUAGE FILM,TRUE,The Great Beauty,
2013,FOREIGN LANGUAGE FILM,FOREIGN LANGUAGE FILM,FALSE,The Hunt,
2013,FOREIGN LANGUAGE FILM,FOREIGN LANGUAGE FILM,FALSE,The Missing Picture,
2013,FOREIGN LANGUAGE FILM,FOREIGN LANGUAGE FILM,FALSE,Omar,
2013,MAKEUP,MAKEUP AND HAIRSTYLING,TRUE,Dallas Buyers Club,
2013,MAKEUP,MAKEUP AND HAIRSTYLING,FALSE,Jackass Presents: Bad Grandpa,
2013,MAKEUP,MAKEUP AND HAIRSTYLING,FALSE,The Lone Ranger,
2013,MUSIC,MUSIC (Original Score),FALSE,The Book Thief,
2013,MUSIC,MUSIC (Original Score),TRUE,Gravity,
2013,MUSIC,MUSIC (Original Score),FALSE,Her,
2013,MUSIC,MUSIC (Original Score),FALSE,Philomena,
2013,MUSIC,MUSIC (Original Score),FALSE,Saving Mr. Banks,
2013,MUSIC,MUSIC (Original Song),FALSE,Alone Yet Not Alone,
2013,MUSIC,MUSIC (Original Song),FALSE,Despicable Me 2,
2013,MUSIC,MUSIC (Original Song),TRUE,Frozen,
2013,MUSIC,MUSIC (Original Song),FALSE,Her,
2013,MUSIC,MUSIC (Original Song),FALSE,Mandela: Long Walk to Freedom,
2013,BEST PICTURE,BEST PICTURE,FALSE,American Hustle,
2013,BEST PICTURE,BEST PICTURE,FALSE,Captain Phillips,
2013,BEST PICTURE,BEST PICTURE,FALSE,Dallas Buyers Club,
2013,BEST PICTURE,BEST PICTURE,FALSE,Gravity,
2013,BEST PICTURE,BEST PICTURE,FALSE,Her,
2013,BEST PICTURE,BEST PICTURE,FALSE,Nebraska,
2013,BEST PICTURE,BEST PICTURE,FALSE,Philomena,
2013,BEST PICTURE,BEST PICTURE,TRUE,12 Years a Slave,
2013,BEST PICTURE,BEST PICTURE,FALSE,The Wolf of Wall Street,
2013,PRODUCTION DESIGN,PRODUCTION DESIGN,FALSE,American Hustle,
2013,PRODUCTION DESIGN,PRODUCTION DESIGN,FALSE,Gravity,
2013,PRODUCTION DESIGN,PRODUCTION DESIGN,TRUE,The Great Gatsby,
2013,PRODUCTION DESIGN,PRODUCTION DESIGN,FALSE,Her,
2013,PRODUCTION DESIGN,PRODUCTION DESIGN,FALSE,12 Years a Slave,
2013,SHORT FILM,SHORT FILM (Animated),FALSE,Feral,
2013,SHORT FILM,SHORT FILM (Animated),FALSE,Get a Horse!,
2013,SHORT FILM,SHORT FILM (Animated),TRUE,Mr. Hublot,
2013,SHORT FILM,SHORT FILM (Animated),FALSE,Possessions,
2013,SHORT FILM,SHORT FILM (Animated),FALSE,Room on the Broom,
2013,SHORT FILM,SHORT FILM (Live Action),FALSE,Aquel No Era Yo (That Wasn't Me),
2013,SHORT FILM,SHORT FILM (Live Action),FALSE,Avant Que De Tout Perdre (Just before Losing Everything),
2013,SHORT FILM,SHORT FILM (Live Action),TRUE,Helium,
2013,SHORT FILM,SHORT FILM (Live Action),FALSE,Pitääkö Mun Kaikki Hoitaa? (Do I Have to Take Care of Everything?),
2013,SHORT FILM,SHORT FILM (Live Action),FALSE,The Voorman Problem,
2013,SOUND,SOUND EDITING,FALSE,All Is Lost,
2013,SOUND,SOUND EDITING,FALSE,Captain Phillips,
2013,SOUND,SOUND EDITING,TRUE,Gravity,
2013,SOUND,SOUND EDITING,FALSE,The Hobbit: The Desolation of Smaug,
2013,SOUND,SOUND EDITING,FALSE,Lone Survivor,
2013,SOUND,SOUND MIXING,FALSE,Captain Phillips,
2013,SOUND,SOUND MIXING,TRUE,Gravity,
2013,SOUND,SOUND MIXING,FALSE,The Hobbit: The Desolation of Smaug,
2013,SOUND,SOUND MIXING,FALSE,Inside Llewyn Davis,
2013,SOUND,SOUND MIXING,FALSE,Lone Survivor,
2013,SPECIAL EFFECTS,VISUAL EFFECTS,TRUE,Gravity,
2013,SPECIAL EFFECTS,VISUAL EFFECTS,FALSE,The Hobbit: The Desolation of Smaug,
2013,SPECIAL EFFECTS,VISUAL EFFECTS,FALSE,Iron Man 3,
2013,SPECIAL EFFECTS,VISUAL EFFECTS,FALSE,The Lone Ranger,
2013,SPECIAL EFFECTS,VISUAL EFFECTS,FALSE,Star Trek Into Darkness,
2013,WRITING,WRITING (Adapted Screenplay),FALSE,Before Midnight,
2013,WRITING,WRITING (Adapted Screenplay),FALSE,Captain Phillips,
2013,WRITING,WRITING (Adapted Screenplay),FALSE,Philomena,
2013,WRITING,WRITING (Adapted Screenplay),TRUE,12 Years a Slave,
2013,WRITING,WRITING (Adapted Screenplay),FALSE,The Wolf of Wall Street,
2013,WRITING,WRITING (Original Screenplay),FALSE,American Hustle,
2013,WRITING,WRITING (Original Screenplay),FALSE,Blue Jasmine,
2013,WRITING,WRITING (Original Screenplay),FALSE,Dallas Buyers Club,
2013,WRITING,WRITING (Original Screenplay),TRUE,Her,
2013,WRITING,WRITING (Original Screenplay),FALSE,Nebraska,
2012,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,TRUE,Brave,
2012,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,FALSE,Frankenweenie,
2012,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,FALSE,ParaNorman,
2012,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,FALSE,The Pirates! Band of Misfits,
2012,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,FALSE,Wreck-It Ralph,
2012,CINEMATOGRAPHY,CINEMATOGRAPHY,FALSE,Anna Karenina,
2012,CINEMATOGRAPHY,CINEMATOGRAPHY,FALSE,Django Unchained,
2012,CINEMATOGRAPHY,CINEMATOGRAPHY,TRUE,Life of Pi,
2012,CINEMATOGRAPHY,CINEMATOGRAPHY,FALSE,Lincoln,
2012,CINEMATOGRAPHY,CINEMATOGRAPHY,FALSE,Skyfall,
2012,COSTUME DESIGN,COSTUME DESIGN,TRUE,Anna Karenina,
2012,COSTUME DESIGN,COSTUME DESIGN,FALSE,Les Misérables,
2012,COSTUME DESIGN,COSTUME DESIGN,FALSE,Lincoln,
2012,COSTUME DESIGN,COSTUME DESIGN,FALSE,Mirror Mirror,
2012,COSTUME DESIGN,COSTUME DESIGN,FALSE,Snow White and the Huntsman,
2012,DIRECTING,DIRECTING,FALSE,Amour,
2012,DIRECTING,DIRECTING,FALSE,Beasts of the Southern Wild,
2012,DIRECTING,DIRECTING,TRUE,Life of Pi,
2012,DIRECTING,DIRECTING,FALSE,Lincoln,
2012,DIRECTING,DIRECTING,FALSE,Silver Linings Playbook,
2012,DOCUMENTARY,DOCUMENTARY (Feature),FALSE,5 Broken Cameras,
2012,DOCUMENTARY,DOCUMENTARY (Feature),FALSE,The Gatekeepers,
2012,DOCUMENTARY,DOCUMENTARY (Feature),FALSE,How to Survive a Plague,
2012,DOCUMENTARY,DOCUMENTARY (Feature),FALSE,The Invisible War,
2012,DOCUMENTARY,DOCUMENTARY (Feature),TRUE,Searching for Sugar Man,
2012,DOCUMENTARY,DOCUMENTARY (Short Subject),TRUE,Inocente,
2012,DOCUMENTARY,DOCUMENTARY (Short Subject),FALSE,Kings Point,
2012,DOCUMENTARY,DOCUMENTARY (Short Subject),FALSE,Mondays at Racine,
2012,DOCUMENTARY,DOCUMENTARY (Short Subject),FALSE,Open Heart,
2012,DOCUMENTARY,DOCUMENTARY (Short Subject),FALSE,Redemption,
2012,FILM EDITING,FILM EDITING,TRUE,Argo,
2012,FILM EDITING,FILM EDITING,FALSE,Life of Pi,
2012,FILM EDITING,FILM EDITING,FALSE,Lincoln,
2012,FILM EDITING,FILM EDITING,FALSE,Silver Linings Playbook,
2012,FILM EDITING,FILM EDITING,FALSE,Zero Dark Thirty,
2012,FOREIGN LANGUAGE FILM,FOREIGN LANGUAGE FILM,TRUE,Amour,
2012,FOREIGN LANGUAGE FILM,FOREIGN LANGUAGE FILM,FALSE,Kon-Tiki,
2012,FOREIGN LANGUAGE FILM,FOREIGN LANGUAGE FILM,FALSE,No,
2012,FOREIGN LANGUAGE FILM,FOREIGN LANGUAGE FILM,FALSE,A Royal Affair,
2012,FOREIGN LANGUAGE FILM,FOREIGN LANGUAGE FILM,FALSE,War Witch,
2012,MAKEUP,MAKEUP AND HAIRSTYLING,FALSE,Hitchcock,
2012,MAKEUP,MAKEUP AND HAIRSTYLING,FALSE,The Hobbit: An Unexpected Journey,
2012,MAKEUP,MAKEUP AND HAIRSTYLING,TRUE,Les Misérables,
2012,MUSIC,MUSIC (Original Score),FALSE,Anna Karenina,
2012,MUSIC,MUSIC (Original Score),FALSE,Argo,
2012,MUSIC,MUSIC (Original Score),TRUE,Life of Pi,
2012,MUSIC,MUSIC (Original Score),FALSE,Lincoln,
2012,MUSIC,MUSIC (Original Score),FALSE,Skyfall,
2012,MUSIC,MUSIC (Original Song),FALSE,Chasing Ice,
2012,MUSIC,MUSIC (Original Song),FALSE,Ted,
2012,MUSIC,MUSIC (Original Song),FALSE,Life of Pi,
2012,MUSIC,MUSIC (Original Song),TRUE,Skyfall,
2012,MUSIC,MUSIC (Original Song),FALSE,Les Misérables,
2012,BEST PICTURE,BEST PICTURE,FALSE,Amour,
2012,BEST PICTURE,BEST PICTURE,TRUE,Argo,
2012,BEST PICTURE,BEST PICTURE,FALSE,Beasts of the Southern Wild,
2012,BEST PICTURE,BEST PICTURE,FALSE,Django Unchained,
2012,BEST PICTURE,BEST PICTURE,FALSE,Les Misérables,
2012,BEST PICTURE,BEST PICTURE,FALSE,Life of Pi,
2012,BEST PICTURE,BEST PICTURE,FALSE,Lincoln,
2012,BEST PICTURE,BEST PICTURE,FALSE,Silver Linings Playbook,
2012,BEST PICTURE,BEST PICTURE,FALSE,Zero Dark Thirty,
2012,PRODUCTION DESIGN,PRODUCTION DESIGN,FALSE,Anna Karenina,
2012,PRODUCTION DESIGN,PRODUCTION DESIGN,FALSE,The Hobbit: An Unexpected Journey,
2012,PRODUCTION DESIGN,PRODUCTION DESIGN,FALSE,Les Misérables,
2012,PRODUCTION DESIGN,PRODUCTION DESIGN,FALSE,Life of Pi,
2012,PRODUCTION DESIGN,PRODUCTION DESIGN,TRUE,Lincoln,
2012,SHORT FILM,SHORT FILM (Animated),FALSE,Adam and Dog,
2012,SHORT FILM,SHORT FILM (Animated),FALSE,Fresh Guacamole,
2012,SHORT FILM,SHORT FILM (Animated),FALSE,Head over Heels,
2012,SHORT FILM,SHORT FILM (Animated),FALSE,"Maggie Simpson in ""The Longest Daycare""",
2012,SHORT FILM,SHORT FILM (Animated),TRUE,Paperman,
2012,SHORT FILM,SHORT FILM (Live Action),FALSE,Asad,
2012,SHORT FILM,SHORT FILM (Live Action),FALSE,Buzkashi Boys,
2012,SHORT FILM,SHORT FILM (Live Action),TRUE,Curfew,
2012,SHORT FILM,SHORT FILM (Live Action),FALSE,Death of a Shadow (Dood van een Schaduw),
2012,SHORT FILM,SHORT FILM (Live Action),FALSE,Henry,
2012,SOUND,SOUND EDITING,FALSE,Argo,
2012,SOUND,SOUND EDITING,FALSE,Django Unchained,
2012,SOUND,SOUND EDITING,FALSE,Life of Pi,
2012,SOUND,SOUND EDITING,TRUE,Skyfall,
2012,SOUND,SOUND EDITING,TRUE,Zero Dark Thirty,
2012,SOUND,SOUND MIXING,FALSE,Argo,
2012,SOUND,SOUND MIXING,TRUE,Les Misérables,
2012,SOUND,SOUND MIXING,FALSE,Life of Pi,
2012,SOUND,SOUND MIXING,FALSE,Lincoln,
2012,SOUND,SOUND MIXING,FALSE,Skyfall,
2012,SPECIAL EFFECTS,VISUAL EFFECTS,FALSE,The Hobbit: An Unexpected Journey,
2012,SPECIAL EFFECTS,VISUAL EFFECTS,TRUE,Life of Pi,
2012,SPECIAL EFFECTS,VISUAL EFFECTS,FALSE,Marvel's The Avengers,
2012,SPECIAL EFFECTS,VISUAL EFFECTS,FALSE,Prometheus,
